,ID,BoroCode,Borough,CD,CDName,TaxBlock,TaxLot,FacName,FacAddress,ZipCode,FacType,FT_Decode,FT_Report,FT_Map,GroupType,GroupType_Decode,NewGroupType,NewGroupType_Decode,NewSgroup,NewSgroup_Decode,NewFacType,NewFT_Decode,Sgroup,Sgroup_Decode,Capacity,CapType,CT_Decode,CT_Report,Acreage,PKtoG8,G9toG12,AgencyOper,NewAgencyOper_Decode,AgencyOper_Report,AgencyOver,NewAgencyOver_Decode,AgencyOver_Report,CT2010,Tract2010,CouncilDis,SchoolDist,PolicePrct,HealthArea,BBL,XCoord,YCoord,SvcArea,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip
19035,4100DC542,3,BK,312,BROOKLYN COMMUNITY DISTRICT 12,6568,21,SHAARE TORAH HIGH SCHOOL,1326 Ocean Pkwy,11230,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,444,444,44,21,66,7120,3065680021,992687,163782,L,40.61624929,-73.96947745,1,rooftop,1326,Ocean Pkwy,Brooklyn,NY,Kings County,11230
4417,15000B026,3,BK,302,BROOKLYN COMMUNITY DISTRICT 2,1956,8,CUYLER GORE PARK,"Carlton Ave., Fulton St., Green Ave.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,1.158,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,1.158,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3019560008,992059,189021,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
10848,15000BZ282,3,BK,315,BROOKLYN COMMUNITY DISTRICT 15,NA,NA,GREENSTREET,Jerome Ave & Sheepshead Bay Rd & E 17 St,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.021,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.021,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,997464,153252,L,40.855787,-73.90557,1,street_center,,Jerome Ave,Bronx,NY,Bronx County,10453
15698,3762910457,4,QN,407,QUEENS COMMUNITY DISTRICT 7,4798,63,ASSN F/HELP OF RETARDED CHILD.,30-18 148 St,11354,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,8,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,1159,1159,19,25,109,1310,4047980063,1034477,220135,R,40.77078401,-73.81851642,1,rooftop,30-018,148th St,Flushing,NY,Queens County,11354
13145,327003268R6290,4,QN,414,QUEENS COMMUNITY DISTRICT 14,16151,92,MEDCARE,217 Beach 95 St,11693,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,90,Proprietary,Private,54,NYS Department of Health ,NYS DOH,942.01,94201,32,27,100,3700,4161510092,1034863,152799,L,40.583645,-73.816114,0.8,street_center,,Beach 95th St,Far Rockaway,NY,Queens County,11693
1698,1.03E+13,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,2042,35,HARLEM SUCCESS ACAD CHARTER SCHOOL 5,301 W 140 St,10030,1011,Elementary School - Public Charter,Elementry School - Public Charter,Elementary School - Public Charter,1,SCHOOLS,1,Educational Facilities,1b,Charter Elementary and Secondary Schools,1b01,Charter Elementary School,11,Public Elementary and Secondary Schools,432,1,Day Care or Head Start Center Capacity,Children,NA,432,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,221.02,22102,9,5,32,8510,1020420035,999604,238097,L,40.81996161,-73.94466349,1,rooftop,301,W 140th St,New York,NY,New York County,10030
16504,3861360661,4,QN,401,QUEENS COMMUNITY DISTRICT 1,1018,20,"LIFESPIRE, INC.",50-04 25 Ave,11377,3805,Day Habilitation - Developmental Disability,Day Habilitation - Dev Disability,Outp Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4h,Developmental Disabilities Service Facilities - Outpatient,4h04,Day Habilitation,72,Mental Retardation and Developmental Disabilities Services - Non-Residential,55,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,297,297,22,30,114,620,4010180020,1010967,217517,L,40.74255047,-73.91498051,1,range_interpolation,50-004,Queens Blvd,Woodside,NY,Queens County,11377
3180,15000BS85,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,5103,93,P.S. 369 ANNEX,Snyder Ave bet Flatbush Ave and Bedford Ave,NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.398,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.398,NA,NA,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,NA,NA,NA,NA,NA,NA,3051030093,996172,175707,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
17632,4100DC14648,2,BX,206,BRONX COMMUNITY DISTRICT 6,3139,1,KENNEDY CHILD STUDY CENTER,1071 B E Tremont Ave,10460,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,73,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,361,361,15,12,48,2110,2031390001,1017775,245590,L,40.84027945,-73.87878058,1,rooftop,1071,E Tremont Ave,Bronx,NY,Bronx County,10460
1390,1.03E+13,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,5103,10,HIGH SCHOOL-YOUTH & COMM DVLPMNT,911 Flatbush Ave,11226,1005,High School - Public,High School - Public,High School - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a05,Public High School,11,Public Elementary and Secondary Schools,338,1,Day Care or Head Start Center Capacity,Children,NA,0,338,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,794,794,40,17,70,5400,3051030010,996136,175945,R,40.64950427,-73.9582574,1,rooftop,911,Flatbush Ave,Brooklyn,NY,Kings County,11226
975,1.03E+13,1,MN,107,MANHATTAN COMMUNITY DISTRICT 7,1205,6,MS 247 DUAL LANG MIDDLE SCHOOL,32 W 92 St,10025,1002,Middle School - Public,Intermediate/JHS - Public,Intermediate/JHS - Public,1,SCHOOLS,1,Educational Facilities,1a,Public Elementary and Secondary Schools,1a02,Public Middle School,11,Public Elementary and Secondary Schools,195,1,Day Care or Head Start Center Capacity,Children,NA,195,0,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,177,177,6,3,24,3220,1012050006,992994,226907,L,40.7895316,-73.96790347,1,rooftop,32,W 92nd St,New York,NY,New York County,10025
21499,5405004,4,QN,412,QUEENS COMMUNITY DISTRICT 12,10304,7,HOLBAN YARD,Liberty Ave,11412,5405,LIRR Yard,LIRR Yard,LIRR Yard,11,TRANSPORTATION FACILITIES,6,Transportation & Waste Facilities,6d,Operational Vehicle Storage Facilities,6d06,LIRR Yard,111,Transportation Facilities,NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,87,Metropolitan Transportation Authority / Long Island Rail Road ,MTA/LIRR,87,Metropolitan Transportation Authority / Long Island Rail Road ,MTA/LIRR,444,444,27,29,103,3510,4103040007,1047334,194195,R,40.704809,-73.772775,1,street_center,,Liberty Ave,Saint Albans,NY,Queens County,11412
6177,15000Q452,4,QN,411,QUEENS COMMUNITY DISTRICT 11,8162,268,UDALLS COVE PARK,"Northern Blvd., 244 St. to 247 St., Douglas Rd., Little Neck Bay",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,42.768,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,42.768,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4081620268,1055144,222510,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
13245,327002122R3980,3,BK,305,BROOKLYN COMMUNITY DISTRICT 5,3670,9,ROGOSIN INSTITUTE - NEPHROLOGY FOUNDATION OF BROOKLYN EAST,63 Pennsylvania Ave,11207,3202,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Treatment Center Extension Clinic,Diagnostic and Trtmnt Ctr Ext Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a04,Diagnostic and Treatment Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,1198,1198,37,19,75,3820,3036700009,1012910,185774,L,40.6765132,-73.89684388,1,rooftop,63,Pennsylvania Ave,Brooklyn,NY,Kings County,11207
15989,3761240549,1,MN,110,MANHATTAN COMMUNITY DISTRICT 10,1729,7501,"UCP OF NEW YORK CITY, INC.",51 W 131 St,10037,3703,Individualized Residential Alternative - Developmental Disability,Community Residence - Dev Disability,Res Dev Disability Svc,7,DEVELOPMENTAL DISABILITIES SERVICES,4,Hospitals & Health Service Facilities,4g,Developmental Disabilities Service Facilities - Inpatient,4g03,Individualized Residential,71,Developmental Disabilities Services - Residential,5,2,Certified Hospital Beds or Residential or Correctional Facility Beds,Beds,NA,NA,NA,91,Not For Profit,NFP,57,NYS Office for People with Developmental Disabilities ,NYS OPWDD,208,208,9,5,32,1300,1017297501,1000475,234845,R,40.8111211,-73.94139484,1,rooftop,51,W 131st St,New York,NY,New York County,10037
7307,15000B400,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1789,61,MAGNOLIA TREE EARTH CENTER,Marcy Ave bet. Clifton Pl. and Lafayette Ave.,NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,0.809,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.809,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,3017890061,998440,190538,L,40.838336,-73.916917,1,street_center,,Marcy Pl,Bronx,NY,Bronx County,10452
14722,367211301A,2,BX,212,BRONX COMMUNITY DISTRICT 12,4658,15,ASTOR DAY TREATMENT PROGRAM,750 Tilden St,10467,3603,Day Treatment - Mental Health,Day Treatment - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f01,Day Treatment,62,Mental Health Services - Non-Residential,48,6,Outpatient or Day Program Facility Capacity,Program Capacity,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,380,380,12,11,47,610,2046580015,1022203,258669,L,40.87675072,-73.86275643,1,rooftop,750,Tilden St,Bronx,NY,Bronx County,10467
13805,327001243R6974,3,BK,303,BROOKLYN COMMUNITY DISTRICT 3,1926,10,INTERMEDIATE SCHOOL 117 FRANCIS SCOTT KEY,300 Willoughby Ave,11205,3206,School Based Health Center Extension Clinic,School Based Health Center Extension Clinic,Health Ctr Extension Clinic,4,"NURSING HOMES, HOSPITALS, HOSPICES, AND AMBULATORY PROGRAMS",4,Hospitals & Health Service Facilities,4a,"Hospitals, Clinics, and EMS Facilities",4a08,School Based Health Center Extension Clinic,42,Ambulatory Facilities and Programs,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,54,NYS Department of Health ,NYS DOH,235,235,33,13,79,1410,3019260010,995847,191391,L,40.69255209,-73.95833873,1,rooftop,300,Willoughby Ave,Brooklyn,NY,Kings County,11205
3495,15000Q129,4,QN,409,QUEENS COMMUNITY DISTRICT 9,9442,1,"PHIL ""SCOOTER"" RIZZUTO PARK","Atlantic Ave., 95 Ave. bet. 127 St. and 125 St.",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,4.353,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,4.353,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,4094420001,1033725,192459,L,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
3120,15000BS71,3,BK,317,BROOKLYN COMMUNITY DISTRICT 17,4669,37,I.S. 252,"E 95 St, E 94 St, Lenox Rd",NA,1511,Park/Playground - NYC,Park/Playground - NYC,NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c01,Park/Playground - NYC,22,Parklands,0.98,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.98,NA,NA,1,NYC Department of Education ,NYC DOE,1,NYC Department of Education ,NYC DOE,NA,NA,NA,NA,NA,NA,3046690037,1006497,178909,L,40.785874,-73.953045,1,street_center,,E 95th St,New York,NY,New York County,10128
2394,1.13E+13,3,BK,314,BROOKLYN COMMUNITY DISTRICT 14,7566,6,MASORES BAIS YAAKOV HIGH SCHOOL,1395 Ocean Ave,11230,1105,Senior High School - Private/Parochial,Senior High School - Private/Parochial,Senior High School - Private,1,SCHOOLS,1,Educational Facilities,1c,Private/Parochial Elementary and Secondary Schools,1c05,Private/Parochial Senior High School,12,Private/Parochial Elementary and Secondary Schools,206,1,Day Care or Head Start Center Capacity,Children,NA,0,206,90,Proprietary,Private,50,NYS Education Department / Board of Regents ,NYSED,772,772,45,22,70,7220,3075660006,996320,168215,R,40.62823177,-73.95686831,1,range_interpolation,1395,Ocean Ave,Brooklyn,NY,Kings County,11230
14947,366287106A,3,BK,315,BROOKLYN COMMUNITY DISTRICT 15,6666,112,FEGS RUSSIAN CLINIC PROGRAM,938 Kings Highway 3rd,11223,3609,Clinic Treatment - Mental Health,Clinic Treatment - Mental Health,Outp Mental Health Svc,6,MENTAL HEALTH SERVICES,4,Hospitals & Health Service Facilities,4f,Mental Health Facilities - Outpatient,4f06,Clinic Treatment,62,Mental Health Services - Non-Residential,NA,98,Unknown For This Record,NA,NA,NA,NA,91,Not For Profit,NFP,56,NYS Office of Mental Health ,NYS OMH,418,418,44,21,61,8510,3066660112,994650,160375,L,40.60702771,-73.96286161,1,range_interpolation,938,Kings Hwy,Brooklyn,NY,Kings County,11223
10152,15000XZ275,2,BX,206,BRONX COMMUNITY DISTRICT 6,NA,NA,GREENSTREET,Bedford Park Blvd and Dr Kazimiross Blvd,NA,1515,Joint NYCDOT/DPR Landscaped Area (Greenstreet),Joint NYCDOT/DPR Landscaped Area,Greenstreet,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c04,Joint NYCDOT/DPR Landscaped Area (Greenstreet),22,Parklands,0.063,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,0.063,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,24,NYC Department of Transportation ,NYC DOT,NA,NA,NA,NA,NA,NA,NA,1016625,254836,L,40.870185,-73.885517,1,street_center,,Bedford Park Blvd,Bronx,NY,Bronx County,10458
12672,2104BK009,3,BK,301,BROOKLYN COMMUNITY DISTRICT 1,2491,51,SPARE FLEET STORAGE FACILITY,59 Paidge Ave,11222,2104,Other NYC Fire Department Facility,Other FDNY Facility,Other FDNY Fac,3,PUBLIC SAFETY AND CRIMINAL JUSTICE FACILITIES,3,Public Safety & Justice Facilities,3b,Fire Houses and Other Facilities,3b03,Other NYC Fire Department Facility,31,"NYPD, FDNY, Courts, and Correctional Facilities",NA,99,Not Applicable or Not Collected For This Facility Type,NA,NA,NA,NA,10,NYC Fire Department ,FDNY,10,NYC Fire Department ,FDNY,579,579,33,14,94,300,3024910051,998312,207860,R,40.73681013,-73.95014729,1,rooftop,59,Paidge Ave,Brooklyn,NY,Kings County,11222
18871,4100DC14870,5,SI,502,STATEN ISLAND COMMUNITY DISTRICT 2,3355,1,"BUSY BEACH DAY CARE CENTER, INC.",777 Seaview Ave,10305,4102,Group Day Care - Private,Group Day Care - Private,Group Day Care - Private,8,DAYCARE AND RESIDENTIAL FACILITIES FOR CHILDREN,5,Housing & Social Service Facilities,5b,Childcare Facilities,5b02,Group Day Care - Private,82,Daycare and Headstart Facilities,15,1,Day Care or Head Start Center Capacity,Children,NA,NA,NA,90,Proprietary,Private,14,NYC Department of Health & Mental Hygiene ,NYC DOHMH,70,70,50,31,122,910,5033550001,962615,151202,L,40.58320532,-74.08240878,1,rooftop,777,Seaview Ave,Staten Island,NY,Richmond County,10305
7669,15000R016,5,SI,503,STATEN ISLAND COMMUNITY DISTRICT 3,4160,334,GREAT KILLS PARK,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",NA,1514,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC","Beach, Garden, Natural Area, Other - NYC",NYC Park Property,2,RECREATIONAL AND CULTURAL FACILITIES,2,Community & Recreational Facilities,2c,Parklands and Plazas,2c03,"Beach, Garden, Cemetery, Natural Area, Parkway - NYC",22,Parklands,315.094,8,See Acreage Field; Value Represents Acreage of Total Property,Acres,315.094,NA,NA,3,NYC Department of Parks & Recreation ,NYC DPR,3,NYC Department of Parks & Recreation ,NYC DPR,NA,NA,NA,NA,NA,NA,5041600334,953597,141090,R,40.780751,-73.977182,1,place,,,New York,NY,New York County,10292
